Sample_ID,Source,Reference,Target_Language,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,"Tar, he raised the stone in memory of Ketilhauðr, his father. He was a good man."
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,$M §A ... §B ... §C ... §D Maria in
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,"Hulmfriðr and Ístjónr had this stone raised in memory of Bjórn, his brother, and in memory of Ísjaðr, his son."
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,"Guðr ... his father, he had the stone raised in memory of Ingjaldr, his brother."
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,"Guðriðr had the stone cut in memory of Ingimundr, his father."
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,... ... ... ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,"Helege, he who sat in the stone in memory of Eymundr, his brother."
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,... in the grave of ...
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,"... in memory of Suvarthr, ..."
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,Andréstr and Farmaðr
