Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,gemma-2-2b-it-ft_20_epochs,"Tár had this stone raised in memory of Ketil-Hofriði, his father, a good husbandman. May God help his spirit."
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,gemma-2-2b-it-ft_20_epochs,"$M §A Interpret the runes ... (this) morning/early. §B Interpret the runes ... (one) sees(?). §C ... God(?) help(?) the(?) soul(?) §D Mary, John."
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,gemma-2-2b-it-ft_20_epochs,"Holmfrír had this stone raised in memory of Bjôrn, his husbandman, and in memory of Sighvatr, his son."
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,gemma-2-2b-it-ft_20_epochs,Guð-... ... his father. He travelled to England. May God help his soul.
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,gemma-2-2b-it-ft_20_epochs,"Guðbjôrn had the stone erected in memory of Ingimundr, his father."
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,gemma-2-2b-it-ft_20_epochs,... and Gullaug and ... that ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,gemma-2-2b-it-ft_20_epochs,"Helga placed this stone in memory of Eymundr, (her) brother."
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,gemma-2-2b-it-ft_20_epochs,... died in the retinue(?) ...
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,gemma-2-2b-it-ft_20_epochs,... this stone in memory of Svarth-... ...
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,gemma-2-2b-it-ft_20_epochs,Andrés P. F.
