Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_de,"Tar and Ræsi had this stone raised in memory of Ketill-Áugðr, their father, and Boðanr, their mother. God has always been with them."
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,qwen3.5-0.8B-ft_de,"M Á ... Róðr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr, ...-rǫndr,"
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,qwen3.5-0.8B-ft_de,"Hulmfjǫr raised this stone in memory of Bjǫrn, his brother. He died in memory of Ágvar, his son."
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,qwen3.5-0.8B-ft_de,"Gottr ... his father, and he had this stone in memory of Ingjaldr, his father."
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,qwen3.5-0.8B-ft_de,"Gúþrǫrn had the stone made in memory of Ingimundr, his father."
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,qwen3.5-0.8B-ft_de,"... in the valley of Kulauð, ... ..."
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,qwen3.5-0.8B-ft_de,"Helegríðr, Sæti, Þóðinn, in memory of Bóðvǫtur."
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,qwen3.5-0.8B-ft_de,"...
¡... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... :"
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,qwen3.5-0.8B-ft_de,"...
¡... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... : ... :"
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,qwen3.5-0.8B-ft_de,Andres and Farmaðr.
