"source_text","target_translation","source_name","source_file","language","language_id"
"niu hAborumR | niu hagestumR | hAþuwolAfR gAf j | hAriwolAfR (m)A--u snuh-e | hideRrunono fe(l)(A)h ekA h ed|erA ginoronoR herAmAlAsAR ArAgeu we(l)AdudsA þAt Side B bAriutiþ","Med nio bockar och nio hingstar gav Hådulv godår. Herulv ... Himmelglansrunraden döljer jag här, kraftrunor. Ständigt med arghet, till död genom trolldom den som bryter det [minnesmärket]","DK Bl 3 - Blekinge: Stentoften-sten","christerhamp_gamla_runor.csv","sv","2"
"Afatz hAriwulafa ¶ hAţuwulafz hAeruwulafiz hAţuwulafz hAeruwulafiz ¶ Afatz hAriwulafa warAit runAz ţAiAz","Hĺdulf, Hjorulfs frände, ristade dessa runor till minne av Härjulv","DK Bl 4 - Blekinge: Istaby","christerhamp_gamla_runor.csv","sv","2"
"urti : (w)Aþ- ...|- : ąsM=ut (:) sunu sin :","Vade gjorde [stenen efter] Asmund, sin son","DK Bl 5 - Blekinge: Sölvesborg-sten","christerhamp_gamla_runor.csv","unknown","3"
"ødmar : ok : reinmod","Ödmar och Reginmod","DK Bl 8 - Blekinge: Lösen-sten 1","christerhamp_gamla_runor.csv","sv","2"
"[ANO þNI M|CCCX (i) asio (m)i) lo](t) gøræ þen(æ) [siææn | aaeiokR | þusi]n au- føþø[ir urkræiæeer]","I Herrens år 1310 i Åsjö Mi lät göra denna sten och fader ...","DK Bl 10 - Blekinge: Lösen-sten 3","christerhamp_gamla_runor.csv","sv","2"
"skibarR : kuþis : raisþ... stin","Gudes skeppare reste ... sten","DK Bl 12 - Blekinge: Sturkö-sten","christerhamp_gamla_runor.csv","sv","2"
"wurte runoz an walhakurne ** heldaz kunimudiu ***","Heldaz skrev runorna på guldet åt Kunimunduz","DR BR 75 - Blekinge: Tjurkö","christerhamp_gamla_runor.csv","unknown","3"
"HauR/iauR i * am * tain won/þon iar o mul=a *","Hor / Jor i Ar gjorde stenen här på mulen","Bo Hoga - Bohuslän: Hoga","christerhamp_gamla_runor.csv","sv","2"
"ma=ria mÌr h...e ±Ìim er ±ena stÌin ker±e","Jungfru Maria hjðlpe honom som gjorde denna sten","Bo NIYR 1 - Bohuslðn: Brastads kyrka","christerhamp_gamla_runor.csv","sv","2"
"ra₫e sa er kan namn orklaski k=r=a=k","Läs den som kan namnet Torbjörn Krak","Bo NIYR 2 - Bohuslän: Kareby kyrka","christerhamp_gamla_runor.csv","sv","2"
"svæn : kærðe (m)","Sven gjorde m[ig]","Bo NIYR 3 - Bohuslän: Norums kyrka","christerhamp_gamla_runor.csv","unknown","3"
"asa fu(₫)or / fu(u)or","Åsa / gudarna ...","Bo NIYR 4 - Bohuslän: Utby, Herrestad","christerhamp_gamla_runor.csv","unknown","3"
"Hariwulfs/Hariþulfs * staina-","Hreidulfs / Herjulfs stenar","Bo Rävsal - Bohuslän: Rävsal, Valla","christerhamp_gamla_runor.csv","unknown","3"
"EOS afuer giol läla lrug den 29 oclober anno 1752","Erik Olsson har gjort detta tråg den 29 oktober anno 1752","D Rv 3 - Dalarna: Rot, Älvdalen","christerhamp_gamla_runor.csv","sv","2"
"anders olsun . hafer . giort . sklä . utaf : grån . at . hån . skal . giära : sina : tinest 1608 PMMLD 1726","Anders Olsson har gjort skålen av gran att hon ska göra sin tjänst. 1608.","D Rv 20 - Dalarna: Blyberg, Älvdalen","christerhamp_gamla_runor.csv","sv","2"
"KMD -ad cad gät ai år 1799","[har] gått ... år 1799","D Rv 29A - Dalarna: Älvdalen","christerhamp_gamla_runor.csv","unknown","3"
"EES M1D7CCL8XX0X den XXVIII iuli då : uar : ui : är : i stak : kiön : en : uiko oc : in : tet : ber : gat : gug : nåde : os : 1783 den 19 iuli om afton kom et bod som war för suårt LSS A C","Erik Ersson 1780 den 28 juli, då var vi här i Stackkölen en vecka och intet bärgat. Gud nåde oss. 1783 den 19 juli om aftonen kom ett bud som var för svårt. Lars Larsson.","D Rv 40 - Dalarna: Älvdalen","christerhamp_gamla_runor.csv","sv","2"
"1696 AED oc : tå : uar : ett : suårt : ugers : år oc : dyr : tiid gudh bettre EMS","1696 Anna Ersdotter och då var ett svårt hungersår och dyrtid. Gud bättre! Erik Mattsson","D Rv 41 - Dalarna: Älvdalen","christerhamp_gamla_runor.csv","sv","2"
"den : 30 : dec : tember datum gnåsta PMS ano 1716","Den 30 december datum Gnåsta Per Matsson anno 1716","D Rv 62 - Dalarna: Västermyckeläng, Älvdalen","christerhamp_gamla_runor.csv","sv","2"
"ANO 1730 LIS OMS OOS ALS IRS NLS : dne : 11 : iulius är går mycyen mat på tnta bordnt vnlnst end som adn så mycit amne","Anno 1730 [initialer till sex personnamn] den 11 juli. Här går mycken mat på detta bordet. Väles den som hade så mycket. Amen.","D Rv 74 - Dalarna: Billingsbodarna, Älvdalen","christerhamp_gamla_runor.csv","sv","2"
"ulåfä : sfä : kart ulåfä : afä kart","Olof har gjort","D Rv 77 - Dalarna: Älvdalen","christerhamp_gamla_runor.csv","unknown","3"
"OEohk ierk ulsun an afer gort lofted 1635 ierk ĺrdesu afer gort lo ...","OE OHK Erik Olsson han har gjort loftet 1635 Erik detta ĺr har gjort loftet","D Rv 163 - Dalarna: Orsbleck Ollargĺrden, Orsa","christerhamp_gamla_runor.csv","unknown","3"
"kes⁝ten ⁝ swens⁝dot⁝ter spi⁝la ⁝ i ⁝ one kvla år 1846 a :a:men ⁝ idag föd ⁝ år 1827
(bomärke) i jimlen råkas wi far⁝wel ⁝ mit ⁝ iärta säger","Kerstin Svensdotter spelade i hornet (och) kulade år 1846 a, amen i dag, född år 1827. (bomärke) I himlen råkas vi, farväl mitt hjärta säger.","D Rv 263 - Dalarna: Mora","christerhamp_gamla_runor.csv","unknown","3"
"ro(l)aikr : lit : giara : (s)(t)(a)(i)[n] : ok : skia=ra : yfir : rofin : broţor : sin","Rodleik lät resa och hugga stenen över Rodfinn, sin broder","G 1 - Gotland: Sundre kyrka","christerhamp_gamla_runor.csv","sv","2"
