Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
1,[iufur · r... stan · aftir · fuluka · faþur · sin],"Jôfurr raised the stone in memory of Fullugi, his father.",en,"Rune: *Infar* = To have been born of a god's wife (the Norse conception of mother); Inar = To be a woman; Fuluká = To be in love or married; Faþur = Father; Sin = To go. ""Faþur ò Infar þa sin"" = Father was born by a female god and went away, so I shall remain faithful to my own daughter-in-law.",iúfur · r·stan · æfter · fúluka · faður · son,fire·r ... stone· after· fullka· father· yours,Fierce stone follows father's fate
2,[as]kil : lit : rita : stin : þa[na · -f-]- : u[n]-- : faþur : [si]n [-u-]a : kuþ[an],"Áskell had this stone erected in memory of ... his father, a good husbandman.",en,"ritha: ""stun"" (noun), the one who holds, ""faþur"" (verb, plural, verb ""to put""), and ""stana"" (noun, plural, ""the one holding"")",Askil: Rida-stin: Þanna-fóður-úfaðr.,"Askeil, whose father was Sigurd.",Askill wrote that stone for his father's sake.
3,÷ uesti : auk : iuar : auk : s(u)[lfa :] (b)ruþr : þriR : karþu : bru : þasi : (a)uk : satu : stein : þana : eftiR : þialfa : faþur : [sin],"Véseti and Ívarr/Jóarr and Sylfa, the three brothers made this bridge and placed this stone in memory of Þjalfi, their father.",en,"Dresser's coat was worn by the king, and he wore it alone. The royal family went to the palace in their proper clothes; all of them wore their own coats of armor. When the king left the palace, his servants came with him, and everyone who passed from there would wear their clothes. This is how the king's coat was treated. There was nothing for the king but himself wearing it.","Seeker of the sun, to whom I hear a sound from above, or from under; a sound from beneath; to whom I hear a shout; to whom I hear a blow: an enemy; a man's house; to whom I hear a word; to whom I hear a stone. His daughter is his own; to whom I hear an echo; an evil voice. Father.",I wish: also: for you: and: soul: brother: three times: heart: bru: this: and: set: stone: than: after: ghost's: father: his,"You have: a cow, and another one; two brothers, and their mother. They gave to the father that stone again in return for his life."
4,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,"This means ""the children of the mother"" in Old Norse.","The sea, where the light of the sun rests.","The tree-killer and his daughter are the bear-guards of the frost-beast and the frozen sun, as well.",away from evil -let any curse -yourself -and all your children -and away from you -is this
5,[... iftiR biurn bunta sin kuþan kuþ hialbi ant has],"... in memory of Bjôrn, his/her good husbandman. May God help his spirit.",en,"""when [some] of the gods were made full (full of) power and power in all lands had to be given away so that their own gods could not be worshipped.""","If this is burnt in my hearth, its heat will become white ash upon the floor.",if you love his own beautiful heart in a great heart that is full of fire,and so be thou my trusted helper and guard
6,þurkiR · auk · uri · þaiR · raistu · staina · at · ulaif · faþur · sin : auk : at · suain · bruþur sin ·,"Þorgeirr and Orri, they raised the stones in memory of Óleifr, their father and in memory of Sveinn, their brother.",en,Þurki-r (air) air uruðr (heaven) þai-r (wind) rest-aid (sleep) stained-aat (day) ulaf-aúa (light) fúru-sin (sun): aur (day): au-t-suaen (night): brúþur-sin (moon).,"the man, the wife, the son, of him who is to be born: the woman's father.","Turkir and Urí took Raistó's stone away from his father: and so that Svain, his brother, might...","Thorkir and Uri killed the stone with their father, Ulf, and with his brother Svin."
7,gya : sæhir : at þu : kak hæim §B þa^nsak : a^b(a)kista^n : rþis,Gyða says that you should go home. §B ... ... ...,en,"Ysgeit: opheldat: kapp hægir (æðal): kaka haum, sáhr áttan (rýsa)",gía : sæhir : at þu : kak hæim § b þān sak : áb āk istá : rþis,gala: so-heir: at þu: kæk-heim §B þa^nsak: á^ba(kista^n: rþis,"Gya: sahir, at thu kak haem; B thensak ab(a)kistann rthis."
8,: haraltr : kunukR : baþ : kaurua ¶ kubl : þausi : aft : kurm faþur sin ¶ auk aft : þourui : muþur : sina : sa ¶ haraltr (:) ias : soR · uan · tanmaurk §B ala · auk · nuruiak §C (·) auk t(a)ni (k)(a)(r)(þ)(i) kristno,"King Haraldr ordered these monuments made in memory of Gormr, his father, and in memory of Þyrvé, his mother; that Haraldr who won for himself all of Denmark §B and Norway §C and made the Danes Christian.",en,Haraltr: kunnurrar; Baþ: kaurluok.,Hárolt: Knuckar: Baþ: Kaurua ¶ Kubl: Þausi: Aft: Kurm faðir sin ¶ Auk aft: Þourui: Múður: Sína sa ¶ Hárolt (:) ís soR · uan · tanmaurk §B ala · auk · nuruía §C (·) auk tani kárþi kristno,Harald! King: Bað: Kaurua ¶ Kubl: Þausi: aft: kurm faþur sin ¶ auþ: þourui: muþur: sina: sa ¶ haraltr (:) ias: soR · uan · tanmaurk §B ala · auæ: nuruiak §C (·) au t(a)ni (k)(a)(r)(þ)(i) kristno,"Harald became king, and Kubla killed him. He killed his own father and then his mother. Harald is the same one who took the heathen power; but also Nuria was there, and C also came (to be) a baptized Christian."
9,· kalmi : risþi : stin : þena : eftiR : helka : sun : sin : iaR : turknaþi :,"Gamli(?)/Galmi(?) raised this stone in memory of Helgi, his son, who drowned.",en,"Kalmi: the rising sun/early night; Rís (the wind): to go, flee, return or escape; Sfin: a person who runs fast or is very active; Þena (to see) / Efni: evening/night; Ríð: to have (or do); Hela: all; Sun: the sun/Sun-god; Sin: in or under; Ír: into or to enter; Turknþi: wind, and/or wind-dragging; Þa (to go to): to go somewhere; Þena (to see) (repeated at end); Helkja (to be there) / Heila (all): all are here/there; Sni (sigh/sin): to sigh.",Kaldam: rise stone then after sun in Turkham,calm: cold: stone: tenant: after: heat: sun: sun's: earth: Turkmen.,kalmi: risþi: stin: þena: eftiR: helka: sun: sin: iaR: turknaþi:
10,o^not^r : a mik : a ho^no^m,Ônundr of Hornar owns me.,en,"a blacksmith's father is a man of the sky (a 'ho' meaning ""sky"" in this context refers to being above or associated with the heavens).",of nor: a mikh: a honom,a great god: a horned god,Not mine is the gift which is known by them.
