Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,qwen3.5-4B-ft_multi-lang_20_epochs,"Darr had this stone raised in memory of Ketilhǫfði, his father, a good husbandman. May God help his spirit."
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,qwen3.5-4B-ft_multi-lang_20_epochs,"$M §A ... §B Interpret the runes, harm-brothers! §C King Statur the White, the new king. §D Mary, Jóhan's."
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,qwen3.5-4B-ft_multi-lang_20_epochs,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman, and in memory of Ásgeirr, her son."
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,qwen3.5-4B-ft_multi-lang_20_epochs,Guð-... ... his father came very far. He was taken to England. May God help his soul.
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,qwen3.5-4B-ft_multi-lang_20_epochs,"Guðrúin had the stone erected in memory of Ingimundr, her father."
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,qwen3.5-4B-ft_multi-lang_20_epochs,... and Gullaug and ... that ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,qwen3.5-4B-ft_multi-lang_20_epochs,"Helga placed this stone in memory of Eymundr, (her) brother."
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,qwen3.5-4B-ft_multi-lang_20_epochs,... was dead in the east / in the orient ...
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,qwen3.5-4B-ft_multi-lang_20_epochs,... this stone in memory of Svartr/Svarth...
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,qwen3.5-4B-ft_multi-lang_20_epochs,André the Fisherman.
