Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_sv,"Tär lät resa stenen efter Kettilhög, sin fader, den som gjorde denna resa"
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,qwen3.5-0.8B-ft_sv,"Mögdes resa runarna efter denna hord, som reste i Kuz, sin moder"
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,qwen3.5-0.8B-ft_sv,"Hulmfri reste denna sten efter Björn, sin broder, och efter Isik, sin son"
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,qwen3.5-0.8B-ft_sv,Gud ... sin fader ... efter Hjalp ... till Iklans Gud Halbi ... sil hans
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,qwen3.5-0.8B-ft_sv,"Gudtrion lät resa stenen efter Ingjuman, sin fader"
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,qwen3.5-0.8B-ft_sv,...n och guld och ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,qwen3.5-0.8B-ft_sv,"Hjalda satte denna sten efter Eumund, broder"
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,qwen3.5-0.8B-ft_sv,...
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,qwen3.5-0.8B-ft_sv,...
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,qwen3.5-0.8B-ft_sv,Andres þarfar
11,[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...],"... ... ... Sóti's son ... ... in memory of Þórðr, brother ...",en,qwen3.5-0.8B-ft_sv,... sinne ...
12,tusti × (r)...(i) ...tin × efti(R) kuno × mak × sin × þ... ...---s × ... × uistar- × uar- ...,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... was westwards ...",en,qwen3.5-0.8B-ft_sv,"Tustie ... sten efter Kuno, sin man ... ..."
13,... ...fr ' lit ' reisa ' steina ' efti- seuar ' faþur ' s-n ' goþan ',"... ... had the stones raised in memory of Sævarr, his/her good father.",en,qwen3.5-0.8B-ft_sv,"... reste denna sten efter Steinar, sin fader, Gud"
14,...-k lun-a : -... ...(a)lbi · siao- ...,... may help the soul ...,en,qwen3.5-0.8B-ft_sv,... lund ...
15,[... iftiR biurn bunta sin kuþan kuþ hialbi ant has],"... in memory of Bjôrn, his/her good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_sv,"... efter Björn, denna sten efter Gud, Gud hjälpe hans hustru"
16,[· rauþr · auk · biarn · litu · raisa · stein · eftR · mak sin · sikat · koþ hialbi ont hns ·],Rauðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage Sighvatr. May God help his spirit.,en,qwen3.5-0.8B-ft_sv,"Raud och Björn lät resa sten efter Makk, sin son, och hjälpa hans hustru"
17,... ...-rimar : litu : r... ... sin ×,... Grímarr(?) had (the stone) raised/erected ... their ...,en,qwen3.5-0.8B-ft_sv,... sin ...
18,× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans + §B × iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +,"Jarlabanki had this stone raised in memory of himself while alive. He alone owned all of Tábýr. May God help his spirit. §B Jarlabanki had this stone raised in memory of himself while alive, and made this Assembly-place, and alone owned all of this Hundred.",en,qwen3.5-0.8B-ft_sv,"Iarlibjaki lät resa denna sten efter Gunnar, hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efterman, och hans efter"
19,--- ¶ akla + kala + laka + ¶ --o-imi(k)(l)(i)(i),"... agla gala laga ('agla' = Thou art strong in eternity, Lord) ...",en,qwen3.5-0.8B-ft_sv,Åkla och Lade lade denna om
20,$M auæ : ma^ria : gra^kia : plena ...,$M Hail Mary full of grace ...,en,qwen3.5-0.8B-ft_sv,M avä mörja gräkka plena
21,× kaR : reþi sin : eti : bui : uiburk uaR : muþR : snuR : fatriþ : ----,Geirr erected the stone in memory of Búi. Vébjôrg was (his) mother. [Was his] daughter-in-law Fastríð(?) ...,en,qwen3.5-0.8B-ft_sv,"Gore reste denna sten efter Björk, som var sin fader"
