Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,gemma-2-2b-it,"father, son,  grandson,  mother, daughter,  granddaughter,  wife,  sister,  brother,  friend,  neighbor,  child,  servant,  teacher,  ruler,  king,  priest,  warrior,  farmer,  hunter,  fisherman,  craftsman,  merchant,  baker,  weaver,  blacksmith,  carpenter,  mason,  stone-cutter,  goldsmith,  jeweler,  doctor,  lawyer,  poet,  musician,  scholar,  knight,  bard,  soothsayer,  witch,  sorcerer,  magician,  prophet,  seer,  oracle,  diviner,  fortune-teller,  astrologer,  alchemist,  physician,  philosopher,  astronomer,  geologist,  architect,  engineer,  inventor,  scientist,  explorer,  navigator,  sailor,  captain,  soldier,  thief,  murderer,  deceiver,  liar,  cheat,  fraudster,  robber,  assassin,  spy,  secret agent,  detective,  police officer,  judge,  jury"
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,gemma-2-2b-it,The runes are a gift from God.
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,gemma-2-2b-it,I am free from all evil and I will be a good man.
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,gemma-2-2b-it,"I am a daughter of my father's house, I have a fur coat, I have a hair shirt, I have a tunic, I have a cloak, I have a sword, I have a shield, I have a helmet."
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,gemma-2-2b-it,The father of the one who writes in ink is a god.
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,gemma-2-2b-it,...now a black crow ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,gemma-2-2b-it,He who is a man of great power and strength
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,gemma-2-2b-it,I am a warrior from the east.
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,gemma-2-2b-it,I will not do what you ask.
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,gemma-2-2b-it,Andrew: pharmacist
11,[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...],"... ... ... Sóti's son ... ... in memory of Þórðr, brother ...",en,gemma-2-2b-it,I know nothing of this.
