signum,transliteration,english
Öl 1 $ §A,+ s-a... --(s)- i(a)s · satr · aiftir · si(b)(a) · kuþa · sun · fultars · in hons ·· liþi · sati · at · u · -ausa-þ-... +: fulkin : likr : hins : fulkþu : flaistr (:)· uisi · þat · maistar · taiþir : tulka · þruþar : traukr : i : þaimsi · huki · munat : raiþ:uiþur : raþa : ruk:starkr · i · tanmarku : --ntils : iarmun··kruntar : urkrontari : lonti §B {÷ IN| |NONIN- ¶ + HE... ...},"This stone is set up in memory of Sibbi Góði/Goði, son of Foldarr, and his retinue set on ... Hidden lies the one whom followed (most know that) the greatest deeds, Þrud's warrior of battles, in this mound. Never will a more honest, hard-fighting 'wagon-Viðurr' upon Endill's expanses rule the land in Denmark. [This stone is placed in memory of Sibbi the good, Fuldarr's son, and his retinue placed on ... ... He lies concealed, he who was followed by the greatest deeds (most men knew that), a chieftain (battle-tree of [the Goddess] Þrúðr) in this howe; Never again shall such a battle-hardened sea-warrior (Viðurr-of-the-Carriage of [the Sea-king] Endill's mighty dominion ( = God of the vessels of the the sea) ), rule unsurpassed over land in Denmark.] §B {In the name of Jesus(?) ...}"
Öl 2,†$ [tot-- × þ-(a)- (k)--(k)aR · ---- · ...--- -tain · iftiR · sabiara · bruþur · sin · kuþ · hialbi salu hans ·],"†$ Dóttir(?), Þegn(?), ...-geirr(?) [had the] stone [erected] in memory of Sæbjôrn, their brother. May God help his soul."
Öl 3,†$ [...iR · bryþr · litu · r-isa ... ...ftiR ...-----s--unilu...],†$ These brothers had the [stones] raised in memory of their(?) ...
Öl 4 $,...-abi · þaiR --tu · raisa · stein- · eftiR · rantui · moþor sina,"<...-abi> they had the stones raised in memory of Randvé, their mother."
Öl 5 †,[alti × auk × keti... ... stein × eftiR × kata × faþur × sin],"Aldi and Ketill, (they had) the stone (raised) in memory of Káti, their father."
Öl 6 $,[...ofi : lit : kiarua : kuml :] þisa : eftiR : [lofu : kunu : sina :] ...,"Bófi(?)/Tófi(?) had these monuments made in memory of Tófa, his wife. ..."
Öl 7,†$ [------ li- : risa : sten : iftiR : þur... ... ...in : kuþ : hia-bi : sal : hans ·],†$ ... had the stone raised in memory of Þor-... his ... May God help his soul.
Öl 8,†M §P [u-ar stin unu enruk korþi^ ^m^ik] §Q [...(r)^ii^ ^m^iar stin unu enruk korþi^ ^m^ik],†M §P ... Un(n)u's stone(?). ... made me. §Q Three(?) maidens(?) produced the stone. Henrik(?) made me.
Öl 9 †,[askutr : raisti : stain : þina : iftR : suin : faþur : sina : kuþ : ialbi : ant : hans : a^uk : kus muþiR],"Ásgautr raised the stone in memory of Sveinn, his father. May God and God's mother help his spirit."
Öl 10,†$ [: eimunr : auk : kuna- ... þeiR · -uku · kirþu · þisn · eftiR : kinu : fatran],"†$ Eimundr and Gunnarr ..., they made the monuments in memory of Gína(?) the sage."
Öl 11 $,... ...ta · stiu(b) · (s)in · ha- ...,"... ..., his/her step(-son). He ..."
Öl 12,†$ [aynt--s · ... þina : eftiR · ketil · boþyr : sin · kuþ · h... ... ... ... kus · moþiR ·],"†$ Eysteinn(?) ... (had) this (stone raised) in memory of Ketill, his brother. May God and God's mother help his spirit."
Öl 13,†$ [...t... reisti : stein · (þ)ina × eftiR · styrkar · f(a)... ...],"†$ ... raised this stone in memory of Styrkárr, (his) father."
Öl 14,†$ [...(r) : sin : ste(i)... ...],"†$ ... his father/brother, Steinn ..."
Öl 15,†$ [iliuri : raisti : stina : þinsi : iftiR : ... faþur : sin ... uikar : bruþur : sin :],"†$ <iliuri> raised this stone in memory of ..., his father, ... Víkarr, his brother."
Öl 16 †,[... auk : treke : auk : sihstin : þiR bo^þuþr : ristu : sta(i)... ... : uifastr : kuþ : hialbi : au^nt : hans :],"... and Drengi and Sigsteinn, these brothers raised the stone (in memory of) Véfastr. May God help his spirit."
Öl 17 †,[× þurkuþr × raisti × stain × þenh × iftiR × inkialt × bruþur × sin ×],"Þorgunnr raised this stone in memory of Ingjaldr, her brother."
Öl 18 $,× inkialtr × auk × nifR × [au]k × su[i]n [× þa]iR × litu × risa ...- × iftiR × ruþmar × faþur × sin ×,"Ingjaldr and Nefr and Sveinn, they had the [stone] raised in memory of Hróðmarr, their father."
Öl 19 †,[estriþ × lit × raisa × stain × þina × iftiR × biurn × bounta × sin × kuþ × ialbi × has × sial ×],"Ástríðr had this stone raised in memory of Bjôrn, her husband. May God help his soul."
Öl 20 †,[... ...þi kuntu sina ...],... ... his(?) wife(?) ...
Öl 21 $,... ...fr ' lit ' reisa ' steina ' efti- seuar ' faþur ' s-n ' goþan ',"... ... had the stones raised in memory of Sævarr, his/her good father."
Öl 22 $,... ...na ' (þ)... [-]ftir + ...,... these stones in memory of ...
Öl 23,†$ [kuþmuntr · auk × oskutr × auk × sibiurn × auk × kaiRbiurn × litu × raisa · stain · eftiR · byrkeR · faþur · sin hialbi · kuþ hans ant],"†$ Guðmundr and Ásgautr and Sæbjôrn/Sigbjôrn and Geirbjôrn had the stone raised in memory of Borggeirr, their father. May God help his spirit."
Öl 24,†$ [...---- (i)--iR × otryk × br(u)... ... ...-þni × lit × raisa · aftiR · ...-n sin hi... ...],"†$ ... in memory of Ótryggr, (his) brother, ... Guðný(?) had (this stone) raised in memory of her son. May (God) help(?) ..."
Öl 25 $,[ioruik]r × riti × stain × efti × -r---... ...oþur × sin,"Jôrundr(?) erected the stone in memory of ..., his brother."
Öl 26,× kuþfastr × auk × helgun × auk × neniR × þaun myþkini × litu × reisa × stein × eftiR × suein × faþur,"Guðfastr and Helgunnr and Nennir, they mother and sons, had the stone raised in memory of Sveinn, the father."
Öl 27 $,× þeiR bryþr × reistu × kubl × þia × eftiR × sustur ×× sina × afriþi × auk × eftR × suein × faþur × sin × koþan ×,"These brothers raised these monuments in memory of their sister, Áfriðr, and in memory of Sveinn, their good father."
Öl 28 $ §P,harþruþr + raisti + stain + þinsa + aiftiR + sun + sin + s(m)iþ + trak + kuþan + halfburin + bruþiR ans + sitr + kar¶þum ¶ brantr + rit - × iak þu raþa + khn §Q harþruþr + raisti + stain + þinsa + aiftiR + sun + sin + s(m)iþ + trak + kuþan + halfburin + bruþiR ans + sitr + kar¶þum ¶ brantr + rit - × iak þu raþa + khn,"Herþrúðr raised this stone in memory of her son Smiðr, a good valiant man. Halfborinn, his brother, sits in Garðar (Russia). Brandr cut rightly, therefore (one) can interpret (the runes). §Q Herþrúðr raised this stone in memory of her son Smiðr, a good valiant man. His halfbrother Brandr sits in Garðir. Cut rightly into, therefore (one) can interpret (the runes)."
Öl 29 †,[... ...ina × suni × arnki... ...],"... his sons, Arnkell ..."
Öl 30,†$ [...----------... ¶ ...---------...],†$ ... ...
Öl 31 $,auþbiarn : lit : reisa : stein : ...----... hialbi sialu · has,Auðbjôrn had the stone raised ... May (God) help his soul.
Öl 32,†SENTIDA ¬,†SENTIDA ¬
Öl 33,†$ [ubobb-... ¶ -f---... ¶ -u--... ¶ ...----------...],†$ ... ... ... ...
Öl 34,†SENTIDA [huør : søm : thæt·tæ : læs ¶ ta^næ : kirkia : hæta^r : ru^nastæ^n : ta^l : bø^r : so^cna:¶ha^ræ^n : ku^nnæ : ru^næ^r : læsæ : oc : s^crifuæ : hæc ¶ io : ola : calmarn],"†SENTIDA Whosoever reads this: this church is called Rúnasteinn. This the parish rector ought to know, to read and write runes. Johannes Olai Calmarnensis (wrote) this."
Öl 35,†$SENTIDA [la^uþatæ × þ^omin^um × in cimpalis × ¶ at × co^ro × la^uþatæ × æum × in × corþis ¶ æt × orka^no ÷],"†$SENTIDA Praise the Lord with timbrel and dance, praise him with strings and pipe."
Öl 36 $,× (h)[e]rfri[þ- ...-] × uiþbiurn × litu × raisa × stain × þina × at × fastulf × faþur sin ×× siklaug × lit × raisa aftiR : bunta × sin × han × iaR × krafin × i × kirikiu ×,"Herfríðr/Herfreðr and Viðbjôrn had this stone raised in memory of Fastulfr, their father. Siglaug had (it) raised in memory of her husband. He is buried in the church."
Öl 37 $ §P,olafR × auk × kamal × auk × sagsi × raistu + stain × þina × aftiR × [un × faþur × sin × kai](R)ui lit × at × bonta × sin × hiarsu[k] kubl þsi fiaRun olafR hefnt[i at miomu ati un hiar hal](f)an by §Q olafR × auk × kamal × auk × sagsi × raistu + stain × þina × aftiR × [un × faþur × sin × kai](R)ui lit × at × bonta × sin × hiarsu[k] kubl þsi fiaRun olafR hefnt[i at miom| |mu ati un hiar hal](f)an by,"Ólafr and Gamall and Saxi raised this stone in memory of Unn, their father. Geirvé had these monuments (raised) here in memory of her husbandman. Ólafr avenged Féar-Unn (Rich-Unn) at Mon(?). Unn owned here half the village. §Q Ólafr and Gamall and Saxi raised this stone in memory of Unn, their father. Geirvé had these monuments (raised) here in memory of her husbandman. Ólafr avenged Féar-Unn (Rich-Unn) in the middle of the heath(?). Unn owned here half the village."
Öl 38 $,... ...[-(þ)u]r sin kuþan,... his/her good father/brother.
Öl 39 $,× sua(i)(n) kiarþi × iftiR × sin × faþur × uikar × sun × ainiki × sialfR × raisti × stain ×,"Sveinn made in memory of his father, Víkarr, the only son raised the stone himself."
Öl 40 $,· kuþbratr auk suain raistu staina þina aftiR bruþr sina kuþa asualt auk h...f...,Guðbrandr and Sveinn raised these stones in memory of their good brothers Ásvaldr and ...
Öl 41,†$ [austain · auk · sahuatr · auk · aþuatr · litu · raisa · stain · þina · auk · bru · þsa · aftR · ayi · faþur · sin ul----],"†$ Eysteinn and Sighvatr and Auðhvatr had this stone raised and this bridge (made) in memory of Ávir(?), their father ..."
Öl 42,†$ [... þinsi · stain · iftir · suini · iairi...],"†$ ... this stone in memory of Sveini/Sveinir, ..."
Öl 43 $,kunbiarn : auk : su-... ... uk : [i(o)(h)]... ... ...rgil : faþur : sin : ... : goþan : g... ...tuar ris(t)[(i)] : runaR ... stain ...,"Gunnbjôrn and Sveinn ... and Jóhan ... Þorkell(?), their very(?) good father, ... Oddvarr(?) carved the runes ... stone ..."
Öl 44,i... ...iþur : kuþ : hilbi : siflu hans lis : ... iki,... father. May God help his soul. Read ... Hail(?) (Mary)
Öl 45 †,[...---þ----... ¶ ...luin--...],... ...
Öl 46 $,þuriR : auk : þurstain auk : þurfastr · þaiR : bryþr : raistu : stain : at : kunfus : faþur : sin : kuþ : hialbi siul : hans,"Þórir and Þorsteinn and Þorfastr, these brothers raised the stone in memory of Gunnfúss, their father. May God help his soul."
Öl 47 $,askutr × auk × (þ)-... ... ...-R × ...r sin × (a)u...in,"Ásgautr and ... ... in memory of their father(?), Eysteinn."
Öl 48 $ §P,...u ist[in · -t · sun · sin] ... §Q ... uist[in · -t · sun · sin] ...,... the stone in memory of his/her son ... §Q ... Vésteinn in memory of his son ...
Öl 49,†$ [... -uk · (i)orkil · litu · rata · stin · aftR · asþrn · sustur · sina · auk · (a)-... ... · ----...],"†$ ... and Jórkell had the stone erected in memory of <asþrn>, their sister, and ... ... ..."
Öl 50,$UTGÅR,$UTGÅR
Öl 51 $,liti · kuþ · sau... ... -...ratis,May God relieve (his) soul ... paradise.
Öl 52 $,... × kumbl × aiftiR ... ...-str auk × s...-ta × ...,... the monument(s) in memory of ... Christ and Saint ...
Öl 53 M,+ þer ÷ liker ÷ æln ÷ siata · totiR +,"There lies Elín, Sétti's daughter."
Öl 54,†$M [hævðen : þe ÷ mera ÷ mik ÷ givit : þt ÷ u^æret ÷ bætar ÷ skivit],"†$M Had they given me more, then (this) would be better written."
Öl 55,†$ [... ...uk × biurn × risu × kik × at aþ-aui × ...stal × -a-...],"†$ ... and Bjôrn raised me(?) in memory of ...-vé(?), ... ..."
Öl 56 $,esbiarn × auk × roþbiarn × let[u × reta × ... × uef--a-- × fa... ... koþan × auk × e]ftiR × þorbiarn [× broþur · sin · k]oþan ¶ [auk × kuþlauk eftiR],"Ásbjôrn and Hróðbjôrn had (the stone) erected ... <uef--a-->, their good father, and in memory of Þorbjôrn, their good brother, and Guðlaug in memory of (him)."
Öl 57,†$ [...--- + rn--a],†$ ... ...
Öl 58 †,[...],...
Öl 59 †,[... auk × ...],... and ...
Öl 60,†M [anastasius · andre...],†M Anastasius. Andreas(?)
Öl AA29;33 M,fuþorkh,<fuþorkh>
Öl ACTARC37;211,$M §A nþu(t)^s- §B þ-...-ola^un,$M §A ... §B ...
Öl ATA430/37;16,... : hialbi : a(n)... ...,... may (God) help (his) spirit.
