Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_en,"Tar, he raised this stone in memory of Ketilhauð, his father. He was a good man."
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,qwen3.5-0.8B-ft_en,"$M §A ... §B ... §C ... §D Maria, Ingvar."
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,qwen3.5-0.8B-ft_en,"Hulmfrir had this stone raised in memory of Bjôrn, his brother, and in memory of Ísjaðr, his son."
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,qwen3.5-0.8B-ft_en,"Gottr... his father had the farm in the valley of Hfila, and he lived in Iceland."
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,qwen3.5-0.8B-ft_en,"Guðriðr had the stone raised in memory of Ingimundr, his father."
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,qwen3.5-0.8B-ft_en,... ... ... ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,qwen3.5-0.8B-ft_en,"Helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege, helege,"
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,qwen3.5-0.8B-ft_en,... ... ...
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,qwen3.5-0.8B-ft_en,"... in memory of Suvarthr, his father."
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,qwen3.5-0.8B-ft_en,Andréstr and Farmaðr
11,[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...],"... ... ... Sóti's son ... ... in memory of Þórðr, brother ...",en,qwen3.5-0.8B-ft_en,... ... ... ... ... ... ... ... ... ... ... ... ...
12,tusti × (r)...(i) ...tin × efti(R) kuno × mak × sin × þ... ...---s × ... × uistar- × uar- ...,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... was westwards ...",en,qwen3.5-0.8B-ft_en,Tóstei ... ... ... ... ... ... ... ... ... ... ... ...
13,... ...fr ' lit ' reisa ' steina ' efti- seuar ' faþur ' s-n ' goþan ',"... ... had the stones raised in memory of Sævarr, his/her good father.",en,qwen3.5-0.8B-ft_en,"... in memory of Reisa, the stone was erected in memory of Fjôrn, her husbandman."
14,...-k lun-a : -... ...(a)lbi · siao- ...,... may help the soul ...,en,qwen3.5-0.8B-ft_en,"...-k, Lun, ... ..."
15,[... iftiR biurn bunta sin kuþan kuþ hialbi ant has],"... in memory of Bjôrn, his/her good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_en,"... in the name of God, God is God."
16,[· rauþr · auk · biarn · litu · raisa · stein · eftR · mak sin · sikat · koþ hialbi ont hns ·],Rauðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage Sighvatr. May God help his spirit.,en,qwen3.5-0.8B-ft_en,"Rauðr and Bjôrn had this stone raised in memory of Mæk, his son, and God."
17,... ...-rimar : litu : r... ... sin ×,... Grímarr(?) had (the stone) raised/erected ... their ...,en,qwen3.5-0.8B-ft_en,... raised the stone ... in memory of ...
