Sample_ID,Source,Reference,Target_Language,Model,Prediction
1,tar lit : raisa : stain : þensa : eftiR : ketilhaufþa : faþur : sen : boanta : koþan ' kuþ : helbi : has : ant,"Tárr(?)/Tár(?)/Tarr(?) had this stone raised in memory of Ketilhôfði, his father, a good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Djar had this stone raised in memory of Ketilhufþi, his father, a good husbandman. May God help his spirit."
2,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,$M §A ... §B ... ... §C ... ... ... ... ... ... ... §D Jesus Christ.
3,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman; and in memory of Eiskautr, her son."
4,kuþr... ... (f)aþur sin · fur · hfila · hn · til · iklans · kuþ halbi · sil hns,Guð-... ... his father. He competently travelled to England. May God help his soul.,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Guðr ... his father. He fell to England, but May help his soul."
5,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Guðréinn had the stone erected in memory of Ingimundr, her father."
6,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,... and Kólaug ... this ...
7,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Helga placed this stone in memory of Eimundr, (her) brother."
8,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,... Óðarr in Auðvígj ...
9,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,... the stone raised in memory of Svarth... ...
10,a^ndres : p + farmaðr +,Andrés the priest. Farmaðr.,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,André's father Farmaðr
11,[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...],"... ... ... Sóti's son ... ... in memory of Þórðr, brother ...",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"... and he(?) made the stone ... in memory of Þórðr, (his) brother ..."
12,tusti × (r)...(i) ...tin × efti(R) kuno × mak × sin × þ... ...---s × ... × uistar- × uar- ...,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... was westwards ...",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... ... ..."
13,... ...fr ' lit ' reisa ' steina ' efti- seuar ' faþur ' s-n ' goþan ',"... ... had the stones raised in memory of Sævarr, his/her good father.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"... ... had the stones raised in memory of Sevarr, their father, a good landowner."
14,...-k lun-a : -... ...(a)lbi · siao- ...,... may help the soul ...,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,... Lunau(?) ... may all help ...
15,[... iftiR biurn bunta sin kuþan kuþ hialbi ant has],"... in memory of Bjôrn, his/her good husbandman. May God help his spirit.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"... in memory of Bjôrn, his husbandman. God may help his spirit."
16,[· rauþr · auk · biarn · litu · raisa · stein · eftR · mak sin · sikat · koþ hialbi ont hns ·],Rauðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage Sighvatr. May God help his spirit.,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Hróðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage, a good valiant man. May God help his spirit."
17,... ...-rimar : litu : r... ... sin ×,... Grímarr(?) had (the stone) raised/erected ... their ...,en,qwen3.5-0.8B-ft_multi-lang_20_epochs,... ...-rimar had raised ... their ...
18,× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans + §B × iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +,"Jarlabanki had this stone raised in memory of himself while alive. He alone owned all of Tábýr. May God help his spirit. §B Jarlabanki had this stone raised in memory of himself while alive, and made this Assembly-place, and alone owned all of this Hundred.",en,qwen3.5-0.8B-ft_multi-lang_20_epochs,"Jarlabanki had this stone raised in memory of ... He owned the land ... ... his own. §B Jarlabanki had this stone raised in memory of himself when he was free, and then he owned this land and he owned himself."
