Sample_ID,Source,Reference,Target_Language,gemma2:2b_translation
1,[iufur · r... stan · aftir · fuluka · faþur · sin],"Jôfurr raised the stone in memory of Fullugi, his father.",en,Iufur's son after father
2,[as]kil : lit : rita : stin : þa[na · -f-]- : u[n]-- : faþur : [si]n [-u-]a : kuþ[an],"Áskell had this stone erected in memory of ... his father, a good husbandman.",en,"As I write, with the help of my father, and with sin, I know."
3,÷ uesti : auk : iuar : auk : s(u)[lfa :] (b)ruþr : þriR : karþu : bru : þasi : (a)uk : satu : stein : þana : eftiR : þialfa : faþur : [sin],"Véseti and Ívarr/Jóarr and Sylfa, the three brothers made this bridge and placed this stone in memory of Þjalfi, their father.",en,"divine power brings forth the life of the world, the first day the earth was born, the beginning of a new day."
4,× hulmfriR × -it --isa × istain × þina × iftiR × biarn × buanta isin × auk × iftiR × isikat (s)un isin ×,"Holmfríðr had this stone raised in memory of Bjôrn, her husbandman and in memory of Sighvatr, her son.",en,"He saw her, with the sun on her face"
5,[... iftiR biurn bunta sin kuþan kuþ hialbi ant has],"... in memory of Bjôrn, his/her good husbandman. May God help his spirit.",en,"I am the one who burns, I am the one who loves."
6,þurkiR · auk · uri · þaiR · raistu · staina · at · ulaif · faþur · sin : auk : at · suain · bruþur sin ·,"Þorgeirr and Orri, they raised the stones in memory of Óleifr, their father and in memory of Sveinn, their brother.",en,"Thor's son, also, brother of the son of the father, is he the son of the other."
7,gya : sæhir : at þu : kak hæim §B þa^nsak : a^b(a)kista^n : rþis,Gyða says that you should go home. §B ... ... ...,en,"I fear you, I am your enemy, but I will make you fear me."
8,: haraltr : kunukR : baþ : kaurua ¶ kubl : þausi : aft : kurm faþur sin ¶ auk aft : þourui : muþur : sina : sa ¶ haraltr (:) ias : soR · uan · tanmaurk §B ala · auk · nuruiak §C (·) auk t(a)ni (k)(a)(r)(þ)(i) kristno,"King Haraldr ordered these monuments made in memory of Gormr, his father, and in memory of Þyrvé, his mother; that Haraldr who won for himself all of Denmark §B and Norway §C and made the Danes Christian.",en,haraltr: the one who makes men's will come true: kunukR: the one who makes men's minds strong: baþ: the one who is strong: kaurua: the one who is strong of body: kubl: the one who is strong of heart: þausi: the one who gives life: aft: the one who can take life away: kurm: the one who is strong of will: faþur sin: the father's sin: auk: but: aft: but: þourui: the one who brings death: muþur: the mother: sina: the one who gives birth: sa: the one who gives birth to a child: haraltr (:) ias: soR · uan · tanmaurk §B ala · auk · nuruiak §C (·) auk t(a)ni (k)(a)(r)(þ)(i) kristno
9,· kalmi : risþi : stin : þena : eftiR : helka : sun : sin : iaR : turknaþi :,"Gamli(?)/Galmi(?) raised this stone in memory of Helgi, his son, who drowned.",en,calmly:  rust: stone: these: after: the: sun: his:  earth:
10,o^not^r : a mik : a ho^no^m,Ônundr of Hornar owns me.,en,the mountain's peak
11,biarn · li(t) ... ...- · ul- -(o)(r)oþur · sen ·,"Bjôrn had ... ... Ulfr, his brother.",en,born in the light ... -  ul- (o)(r)oþur  sen
12,tusti × (r)...(i) ...tin × efti(R) kuno × mak × sin × þ... ...---s × ... × uistar- × uar- ...,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... was westwards ...",en,"The hidden ones, of the gods, of the earth, a mighty power."
13,· aystin · auk · astriþr · raistu · stina · aftir · kak · sun · sin ·,"Eysteinn and Ástríðr raised the stones in memory of Kagr(?)/Gagr(?), their son.",en,"aystins, a, astriþr, raistu, stina, after, kak, sun, sin"
14,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,"sacred land, the land of the slain"
15,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,"""The gods spoke and the runes whispered, the gods spoke to the runes.  Maria and I were there."""
16,... ...arl ' uk ihulbiurn ' litu rita stono þisa ' uk| |kirua bru þisa ' at iafur faþur si... ... (h)ialbi ont hos,"... Karl and Ígulbjôrn had these stones erected and this bridge made in memory of Jôfurr, their father ... may help his spirit.",en,... ...the old one's the one who has the power to rule the land. ... (h)ialbi ont hos
17,$M §A spyr actriþi h-... §B --- act -...,$M §A Ask Ástríðr ... §B ... love ...,en,The mighty ones seek to harm...
18,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,Where the sun shines
19,+ ka^ute : tie · kinit^r · suermo: in·mokulata · ga^ute §B k-- ... §C ga^ute : kue : genuisti : eterni · lumi(n)- §D k[l]-... ...,"Rejoice, Mother of God, immaculate Virgin, rejoice §B ... §C Rejoice, Thou who created clarity from eternal light §D ...",en,"powerful, enduring love, the will of the heavens"
20,... [+ faslaug :] þaun : [hion × litu : i]ftiR · þial[fa : sun s]...,"... (and) Fastlaug, the married couple, had (the stone raised) in memory of Þjalfi, their son.",en,... + swift warrior: [hi[m]en] ...
21,kuþa : risþi : stin : þansi : auft¶(i)R : þurbiurn : buta : sin : ¶ miuk : kuþan : þikn : ian ¶ þurþr : rist : runaR ¶ þasi,"Gyða raised this stone in memory of Þorbjôrn, her husbandman, a very good þegn. And Þórðr carved these runes.",en,"the one who casts a spell, the one who speaks, the one who is hidden, the one who is strong, the one who is blessed, the one who is protected, the one who is faithful, the one who is the source of all, the one who is the light, the one who is the moon"
22,†M [pær krusis ok sihnum : fgiaþ : ¶ : prokul : omne : malihnum +],†M With this sign of the cross will all evil flee far away.,en,"""The power of the runes, to conquer and to bind, to protect and to punish, for all that is evil, and to bring forth good."""
23,× þeiR bryþr × reistu × kubl × þia × eftiR × sustur ×× sina × afriþi × auk × eftR × suein × faþur × sin × koþan ×,"These brothers raised these monuments in memory of their sister, Áfriðr, and in memory of Sveinn, their good father.",en,"His brothers, the rest of the kin of the sons, of the land,"
24,kunuar : resþi : stin : þani : eftiR : kana : bunta : sin : þegn harþa kuþan,"Gunnvôr raised this stone in memory of Kani, her husbandman, a very good Þegn.",en,"He who sees, he who hears, he who knows, he who trusts, he who fights, he who gives, he who endures, he who waits."
25,(h)agormr hialgar-r (l)i-unski-l-... §B ... þunt bloþ or rin or æ-r : bloþ or : rin or æ--,"Hagormr(?), ... ... §B ... thin blood, run out, out of ... blood, run out, out of ...",en,"Hagorm the glorious,  ...§B...  a curse of the sky,  or rain, or a:  rain, or a:"
26,fuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþorkhfu fuþorkhfuþorkhfuþork,<fuþork fuþork fuþork fuþork fuþork fuþork>,en,F*uthorkhfu*thorkh fu*thorkhfu*thorkhfu*thorkhfu*thorkhfu*thorkhfu*thorkhfu*thorkh fu*thorkhfu*thorkhfu*thorkhfu*thorkhfu*thorkh fu*thorkhfu*thorkhfu*thorkhfu*thorkhfu*thorkh
